,Unnamed: 0,Mean %CPU,Mean % Memoria utilizada,Mean Capacidad de memoria utilizada,load,threads
0,0,9.8,13.5195625,1092667.0,12500,1
0,0,9.603703703703705,13.574118518518516,1097077.037037037,25000,1
0,0,9.438571428571429,13.578387142857142,1097422.0571428572,37500,1
0,0,9.372297297297298,13.505524324324323,1091533.2162162163,50000,1
0,0,9.326693227091631,13.487561354581675,1090081.1952191235,62500,1
0,0,9.25635359116022,13.48015082872928,1089482.541436464,75000,1
0,0,95.6,13.6053,1099596.0,12500,12
0,0,99.26666666666668,13.616333333333335,1100489.3333333333,25000,12
0,0,99.3,13.57685,1097297.5,37500,12
0,0,99.85333333333332,13.596433333333334,1098879.7333333334,50000,12
0,0,99.88214285714284,13.609239285714288,1099915.4285714286,62500,12
0,0,99.8609756097561,13.633814634146338,1101901.268292683,75000,12
0,0,17.6,13.478333333333332,1089333.3333333333,12500,2
0,0,17.615384615384617,13.449346153846152,1086992.3076923075,25000,2
0,0,17.58235294117647,13.48080294117647,1089534.9411764706,37500,2
0,0,17.5485294117647,13.418076470588236,1084464.7647058824,50000,2
0,0,17.612173913043478,13.443199130434785,1086495.8608695653,62500,2
0,0,17.596685082872927,13.46419944751381,1088193.4364640885,75000,2
0,0,25.85,13.4414,1086350.0,12500,3
0,0,26.577777777777776,13.44387777777778,1086551.5555555555,25000,3
0,0,26.33703703703704,13.488003703703704,1090117.3333333333,37500,3
0,0,26.14081632653061,13.473740816326528,1088964.6530612244,50000,3
0,0,26.172727272727272,13.462835227272729,1088083.0454545454,62500,3
0,0,26.092307692307696,13.53858205128205,1094205.0256410255,75000,3
0,0,37.25,13.4505,1087086.0,12500,4
0,0,35.07142857142857,13.448614285714283,1086933.142857143,25000,4
0,0,35.63529411764706,13.96428823529412,1128611.5294117648,37500,4
0,0,34.89393939393939,13.793518181818182,1114809.5757575757,50000,4
0,0,34.916071428571435,13.537441071428573,1094112.9285714286,62500,4
0,0,34.904444444444444,13.5475,1094925.5555555555,75000,4
0,0,52.6,13.5126,1092104.0,12500,6
0,0,52.02,13.4928,1090507.2,25000,6
0,0,51.866666666666674,13.538141666666665,1094170.0,37500,6
0,0,51.708333333333336,13.4977375,1090903.8333333333,50000,6
0,0,51.72558139534883,13.520988372093024,1092782.8837209302,62500,6
0,0,51.656060606060606,13.539584848484848,1094285.5757575757,75000,6
0,0,75.2,13.5312,1093608.0,12500,9
0,0,76.5,13.515575,1092345.0,25000,9
0,0,76.75555555555556,13.532222222222224,1093691.111111111,37500,9
0,0,76.29473684210525,13.54132105263158,1094426.5263157894,50000,9
0,0,76.81176470588237,13.579976470588235,1097549.8823529412,62500,9
0,0,76.53541666666666,13.560899999999998,1096008.6666666667,75000,9
