ID,Timestamp,%CPU (global),Capacidad de memoria utilizada,% Memoria utilizada
0,2025-03-29 03:11:28,25.3,1756100,10.9753
1,2025-03-29 03:11:29,25.3,1757844,10.9862
2,2025-03-29 03:11:31,26.2,1757716,10.9854
3,2025-03-29 03:11:32,26.2,1756884,10.9802
4,2025-03-29 03:11:33,25.3,1756340,10.9768
5,2025-03-29 03:11:34,25.3,1756204,10.9759
6,2025-03-29 03:11:35,25.3,1756468,10.9776
7,2025-03-29 03:11:37,25.3,1757116,10.9816
8,2025-03-29 03:11:38,25,1756792,10.9796
9,2025-03-29 03:11:39,25.3,1756724,10.9792
10,2025-03-29 03:11:40,26.2,1758452,10.9900
11,2025-03-29 03:11:42,26.2,1757400,10.9834
12,2025-03-29 03:11:43,25,1756860,10.9800
13,2025-03-29 03:11:44,25.3,1756808,10.9797
14,2025-03-29 03:11:45,26.2,1755512,10.9716
15,2025-03-29 03:11:46,26.2,1756976,10.9807
16,2025-03-29 03:11:48,25,1756096,10.9752
17,2025-03-29 03:11:49,25.3,1756132,10.9755
18,2025-03-29 03:11:50,25,1755724,10.9729
19,2025-03-29 03:11:51,31,1755528,10.9717
20,2025-03-29 03:11:53,25.9,1756284,10.9764
21,2025-03-29 03:11:54,26.2,1755804,10.9734
22,2025-03-29 03:11:55,25.9,1755600,10.9721
23,2025-03-29 03:11:56,25.3,1755876,10.9739
24,2025-03-29 03:11:58,25.3,1755876,10.9739
25,2025-03-29 03:11:59,25.3,1755760,10.9731
26,2025-03-29 03:12:00,25,1756856,10.9800
27,2025-03-29 03:12:01,26.2,1756024,10.9748
