ID,Timestamp,Capacidad disponible,Capacidad utilizada,% Memoria utilizada
112,2025-03-01 20:07:00,5419352,4861080,47.2848
113,2025-03-01 20:07:04,5417360,4861016,47.2936
114,2025-03-01 20:07:07,5396268,4875552,47.4653
115,2025-03-01 20:07:10,5395752,4861224,47.3943
116,2025-03-01 20:07:13,5390132,4861192,47.4201
117,2025-03-01 20:07:16,5389032,4861280,47.4257
118,2025-03-01 20:07:19,5394064,4861280,47.4024
119,2025-03-01 20:07:22,5435944,4861352,47.2100
120,2025-03-01 20:07:25,5432484,4861336,47.2258
121,2025-03-01 20:07:28,5443940,4861320,47.1732
122,2025-03-01 20:07:31,5442556,4861280,47.1793
123,2025-03-01 20:07:34,5442788,4861280,47.1783
124,2025-03-01 20:07:37,5429840,4875624,47.3111
125,2025-03-01 20:07:40,5439916,4861248,47.1912
126,2025-03-01 20:07:43,5466060,4861276,47.0719
127,2025-03-01 20:07:46,5420776,4861304,47.2794
128,2025-03-01 20:07:49,5429956,4861368,47.2375
129,2025-03-01 20:07:52,5438196,4861440,47.2001
130,2025-03-01 20:07:55,5437692,4861440,47.2024
131,2025-03-01 20:07:58,5434944,4861448,47.2151
132,2025-03-01 20:08:01,5428976,4861432,47.2424
133,2025-03-01 20:08:04,5433948,4861312,47.2189
134,2025-03-01 20:08:07,5410740,4875880,47.4002
135,2025-03-01 20:08:11,5415796,4861424,47.3029
136,2025-03-01 20:08:14,5411132,4861528,47.3249
137,2025-03-01 20:08:17,5406620,4861552,47.3458
138,2025-03-01 20:08:20,5389508,4875916,47.4984
139,2025-03-01 20:08:23,5413172,4875984,47.3895
140,2025-03-01 20:08:26,5414028,4875996,47.3857
141,2025-03-01 20:08:29,5413636,4876120,47.3881
142,2025-03-01 20:08:32,5375828,4890644,47.6370
143,2025-03-01 20:08:35,5387680,4876320,47.5090
144,2025-03-01 20:08:38,5385056,4876160,47.5203
145,2025-03-01 20:08:41,5399112,4862044,47.3830
146,2025-03-01 20:08:44,5415764,4861964,47.3058
147,2025-03-01 20:08:47,5402068,4861956,47.3689
148,2025-03-01 20:08:50,5391272,4876228,47.4919
149,2025-03-01 20:08:53,5387364,4876300,47.5103
150,2025-03-01 20:08:56,5388592,4876300,47.5046
151,2025-03-01 20:08:59,5385804,4880412,47.5386
152,2025-03-01 20:09:02,5407376,4865988,47.3651
153,2025-03-01 20:09:05,5359600,4909036,47.8061
154,2025-03-01 20:09:08,5389776,4880356,47.5199
155,2025-03-01 20:09:11,5419316,4866120,47.3108
156,2025-03-01 20:09:14,5416600,4866272,47.3241
157,2025-03-01 20:09:17,5407304,4866232,47.3667
158,2025-03-01 20:09:20,5407064,4866360,47.3684
159,2025-03-01 20:09:24,5407616,4866240,47.3653
160,2025-03-01 20:09:27,5407196,4866256,47.3673
161,2025-03-01 20:09:30,5405620,4866300,47.3748
162,2025-03-01 20:09:33,5403696,4866392,47.3841
163,2025-03-01 20:09:36,5374156,4895260,47.6683
164,2025-03-01 20:09:39,5400060,4880736,47.4743
165,2025-03-01 20:09:42,5420060,4866404,47.3088
166,2025-03-01 20:09:45,5431764,4866440,47.2552
167,2025-03-01 20:09:48,5384088,4880888,47.5489
168,2025-03-01 20:09:51,5391380,4880760,47.5145
169,2025-03-01 20:09:54,5392804,4880860,47.5085
170,2025-03-01 20:09:57,5391916,4880796,47.5122
171,2025-03-01 20:10:00,5405712,4866528,47.3755
172,2025-03-01 20:10:03,5425116,4866364,47.2854
173,2025-03-01 20:10:06,5379428,4895436,47.6448
174,2025-03-01 20:10:09,5394080,4880940,47.5030
175,2025-03-01 20:10:12,5418440,4866616,47.3174
176,2025-03-01 20:10:15,5423064,4866632,47.2962
177,2025-03-01 20:10:18,5420052,4866620,47.3100
178,2025-03-01 20:10:21,5411512,4866748,47.3499
179,2025-03-01 20:10:24,5404092,4866720,47.3840
180,2025-03-01 20:10:27,5402892,4866664,47.3892
181,2025-03-01 20:10:31,5397556,4866732,47.4142
182,2025-03-01 20:10:34,5396044,4866820,47.4217
183,2025-03-01 20:10:37,5338220,4895600,47.8375
184,2025-03-01 20:10:40,5342984,4895628,47.8153
185,2025-03-01 20:10:43,5345364,4881224,47.7307
186,2025-03-01 20:10:46,5346576,4881292,47.7254
187,2025-03-01 20:10:49,5355080,4881268,47.6856
188,2025-03-01 20:10:52,5360992,4881268,47.6581
