,Unnamed: 0,Mean %CPU,Mean % Memoria utilizada,Mean Capacidad de memoria utilizada,load,threads
0,0,93.96296296296296,13.3924962962963,1082403.7037037036,25000,1
0,0,94.4855072463768,13.427808695652176,1085257.5652173914,50000,1
0,0,94.53867403314918,13.37348535911602,1080866.817679558,75000,1
0,0,93.66666666666669,13.357500000000002,1079576.0,25000,12
0,0,94.85714285714286,13.339307142857146,1078104.2857142857,50000,12
0,0,95.77777777777776,13.331805555555556,1077498.2222222222,75000,12
0,0,93.46153846153848,13.332853846153844,1077583.076923077,25000,2
0,0,94.76119402985074,13.371501492537314,1080707.2835820897,50000,2
0,0,94.7215909090909,13.334347727272728,1077703.7045454546,75000,2
0,0,94.71428571428572,13.3712,1080681.7142857143,25000,4
0,0,95.3030303030303,13.356045454545455,1079456.9696969695,50000,4
0,0,95.55294117647058,13.30550117647059,1075372.2352941176,75000,4
0,0,95.4,13.30674,1075470.4,25000,6
0,0,95.45833333333331,13.287633333333332,1073927.0,50000,6
0,0,95.62903225806453,13.367379032258066,1080373.677419355,75000,6
