ID,Timestamp,%CPU (global),Capacidad de memoria utilizada,% Memoria utilizada
0,2025-03-29 02:31:54,9,1002948,12.4094
1,2025-03-29 02:31:55,9.6,1002360,12.4021
2,2025-03-29 02:31:56,9.7,1002732,12.4067
3,2025-03-29 02:31:58,9,1001760,12.3947
4,2025-03-29 02:31:59,9.6,1001480,12.3912
5,2025-03-29 02:32:00,9,1001144,12.3871
6,2025-03-29 02:32:01,9.6,1001412,12.3904
7,2025-03-29 02:32:03,9.6,1001400,12.3902
8,2025-03-29 02:32:04,9.6,1001632,12.3931
9,2025-03-29 02:32:05,9.6,1001868,12.3960
10,2025-03-29 02:32:06,9,1003852,12.4206
11,2025-03-29 02:32:08,9.7,1004108,12.4237
12,2025-03-29 02:32:09,9.7,1004496,12.4285
13,2025-03-29 02:32:10,9,1003720,12.4189
14,2025-03-29 02:32:12,9.6,1002344,12.4019
15,2025-03-29 02:32:13,9,1002564,12.4046
16,2025-03-29 02:32:14,9.6,1002812,12.4077
17,2025-03-29 02:32:15,9,1002784,12.4074
18,2025-03-29 02:32:17,9,1002808,12.4077
19,2025-03-29 02:32:18,9,1003852,12.4206
20,2025-03-29 02:32:19,9.7,1002920,12.4090
21,2025-03-29 02:32:20,9.7,1005064,12.4356
22,2025-03-29 02:32:22,9,1005708,12.4435
23,2025-03-29 02:32:23,9,1005492,12.4409
24,2025-03-29 02:32:24,9,1003868,12.4208
25,2025-03-29 02:32:25,9.7,1003576,12.4172
26,2025-03-29 02:32:27,9,1004032,12.4228
27,2025-03-29 02:32:28,9,1003804,12.4200
28,2025-03-29 02:32:29,9,1003628,12.4178
29,2025-03-29 02:32:30,9,1002444,12.4032
30,2025-03-29 02:32:32,8.3,1002436,12.4031
31,2025-03-29 02:32:33,9,1003188,12.4124
32,2025-03-29 02:32:34,9,1005432,12.4401
33,2025-03-29 02:32:35,9,1005684,12.4432
34,2025-03-29 02:32:37,9.6,1005980,12.4469
35,2025-03-29 02:32:38,9,1005960,12.4467
36,2025-03-29 02:32:39,8.3,1005720,12.4437
37,2025-03-29 02:32:40,9,1005716,12.4436
38,2025-03-29 02:32:42,9,1004432,12.4277
39,2025-03-29 02:32:43,9.6,1004936,12.4340
40,2025-03-29 02:32:44,9.6,1004628,12.4302
41,2025-03-29 02:32:45,8.3,1005268,12.4381
42,2025-03-29 02:32:47,9,1004532,12.4290
43,2025-03-29 02:32:48,9,1003216,12.4127
44,2025-03-29 02:32:49,9.6,1006356,12.4516
45,2025-03-29 02:32:51,9.6,1006284,12.4507
46,2025-03-29 02:32:52,9.7,1005732,12.4438
47,2025-03-29 02:32:53,9,1006916,12.4585
48,2025-03-29 02:32:54,9,1005868,12.4455
49,2025-03-29 02:32:56,9,1004256,12.4256
50,2025-03-29 02:32:57,9.7,1004588,12.4297
51,2025-03-29 02:32:58,8.3,1005668,12.4430
52,2025-03-29 02:32:59,9,1005132,12.4364
53,2025-03-29 02:33:01,9.6,1005700,12.4434
54,2025-03-29 02:33:02,9,1005584,12.4420
55,2025-03-29 02:33:03,9,1005276,12.4382
56,2025-03-29 02:33:04,9.7,1005336,12.4389
57,2025-03-29 02:33:06,9.7,1005660,12.4429
58,2025-03-29 02:33:07,9.5,1005680,12.4432
59,2025-03-29 02:33:08,9.6,1005444,12.4403
