load,threads,events_seconds_mean,events_seconds_std,events_seconds_ci_lower,events_seconds_ci_upper,latency_min_mean,latency_min_std,latency_min_ci_lower,latency_min_ci_upper,latency_avg_mean,latency_avg_std,latency_avg_ci_lower,latency_avg_ci_upper,latency_max_mean,latency_max_std,latency_max_ci_lower,latency_max_ci_upper,latency_95th_mean,latency_95th_std,latency_95th_ci_lower,latency_95th_ci_upper
12500,1,1899.964,18.698994197549784,1876.7461321022813,1923.1818678977186,0.49000000000000005,5.551115123125783e-17,0.49,0.4900000000000001,0.526,0.00489897948556636,0.5199171135448335,0.5320828864551665,7.140000000000001,1.789949719964223,4.917483874125511,9.362516125874489,0.6699999999999999,0.039999999999999994,0.6203334400718493,0.7196665599281505
25000,1,741.902,0.675111842586118,741.0637379302999,742.7402620697002,1.28,0.0,1.28,1.28,1.348,0.0040000000000000036,1.343033344007185,1.352966655992815,11.081999999999999,0.9947743462715554,9.84682450789792,12.317175492102077,1.6460000000000001,0.01200000000000001,1.631100032021555,1.6608999679784453
37500,1,421.496,5.527620102720522,414.6325531227045,428.35944687729545,2.24,0.0,2.24,2.24,2.3739999999999997,0.03006659275674574,2.3366673942252945,2.411332605774705,13.138,0.5990125207372546,12.394227718527263,13.881772281472736,3.044,0.28744390757154686,2.687091248465399,3.400908751534601
50000,1,286.716,1.1761054374502375,285.25567222022636,288.17632777977366,3.3199999999999994,4.440892098500626e-16,3.319999999999999,3.32,3.4880000000000004,0.014696938456698961,3.469751340634501,3.5062486593655,18.508000000000003,8.523908493173774,7.92416970004281,29.091830299957195,4.21,0.12312595177297109,4.057118938438928,4.362881061561072
62500,1,208.846,1.5191392299588546,206.9597395099011,210.7322604900989,4.53,0.0,4.53,4.53,4.787999999999999,0.0348711915483255,4.744701696879976,4.831298303120023,38.294000000000004,24.088754720823573,8.383860501592352,68.20413949840766,6.081999999999999,0.3509073951913809,5.6462909206874,6.517709079312598
75000,1,163.06,1.5128912717046155,161.18149737472766,164.93850262527235,5.5040000000000004,0.6320000000000001,4.71926835313522,6.288731646864781,6.132000000000001,0.0560000000000001,6.0624668161005895,6.201533183899412,26.148000000000003,9.79132146341851,13.99046864403342,38.305531355966586,7.558,0.5325185442780374,6.896790895194083,8.219209104805918
12500,2,3972.382,9.862894909710858,3960.135598472545,3984.628401527455,0.49000000000000005,5.551115123125783e-17,0.49,0.4900000000000001,0.502,0.0040000000000000036,0.4970333440071849,0.5069666559928151,7.242,1.354657152197559,5.559970984207051,8.92402901579295,0.522,0.0040000000000000036,0.5170333440071849,0.5269666559928151
25000,2,1536.0620000000001,3.1324456898723962,1532.172554960557,1539.9514450394433,1.28,0.0,1.28,1.28,1.302,0.0040000000000000036,1.297033344007185,1.306966655992815,9.760000000000002,0.4543126676640218,9.195896316633673,10.32410368336633,1.34,0.0,1.34,1.34
37500,2,880.9,0.8790221840204041,879.8085498004793,881.9914501995206,2.24,0.0,2.24,2.24,2.27,0.0,2.27,2.27,11.95,0.6467456996378095,11.146959148766625,12.753040851233374,2.35,0.0,2.35,2.35
50000,2,593.894,0.2913829095880703,593.5322003314726,594.2557996685274,3.3199999999999994,4.440892098500626e-16,3.319999999999999,3.32,3.368,0.004000000000000093,3.3630333440071847,3.372966655992815,14.457999999999998,1.8894168412502308,12.111979130619705,16.80402086938029,3.4900000000000007,4.440892098500626e-16,3.49,3.490000000000001
62500,2,436.122,0.34498695627515424,435.69364211654323,436.5503578834568,4.5280000000000005,0.00400000000000027,4.523033344007185,4.532966655992816,4.586,0.004898979485566252,4.579917113544834,4.592082886455167,14.863999999999999,0.4014274529725142,14.365561983753393,15.362438016246605,4.74,0.0,4.74,4.74
75000,2,339.538,0.3106380530456622,339.1522919130611,339.9237080869389,5.82,0.0,5.82,5.82,5.888,0.007483314773548008,5.878708237458459,5.897291762541541,17.022000000000002,0.4715675985476518,16.436471490163974,17.60752850983603,6.09,0.0,6.09,6.09
12500,3,5968.166,17.983257324522828,5945.836836809706,5990.495163190294,0.49000000000000005,5.551115123125783e-17,0.49,0.4900000000000001,0.5,0.0,0.5,0.5,5.264,3.2669165890790666,1.2075872862058752,9.320412713794125,0.518,0.0040000000000000036,0.5130333440071849,0.5229666559928151
25000,3,2309.0379999999996,2.305657389986621,2306.175148226661,2311.900851773338,1.28,0.0,1.28,1.28,1.3,0.0,1.3,1.3,9.372,1.1572450043098048,7.9350905410473525,10.808909458952646,1.32,0.0,1.32,1.32
37500,3,1310.0819999999999,28.445388659675547,1274.7623849863671,1345.4016150136326,2.24,0.0,2.24,2.24,2.29,0.05019960159204463,2.227668961978986,2.3523310380210143,11.642000000000001,0.30895954427724026,11.25837605696951,12.025623943030492,2.372,0.14400000000000013,2.1932003842586574,2.5507996157413424
50000,3,876.4100000000001,30.81781822258027,838.1446246098342,914.675375390166,3.322,0.004000000000000093,3.317033344007185,3.3269666559928153,3.4259999999999997,0.12705904139414884,3.268235362654603,3.5837646373453964,12.564000000000002,0.5481459659616222,11.883386888304829,13.244613111695175,3.564,0.2679999999999998,3.231234048481391,3.896765951518609
62500,3,646.598,19.392672224322247,622.5188170700928,670.6771829299071,4.53,0.0,4.53,4.53,4.642,0.14399999999999977,4.463200384258658,4.820799615741342,15.012,0.7448328671588013,14.087167844170029,15.936832155829972,4.8340000000000005,0.36800000000000005,4.377067648661014,5.290932351338987
75000,3,503.646,13.43513096326196,486.96408157176495,520.3279184282351,5.82,0.0,5.82,5.82,5.959999999999999,0.1650454482862221,5.755069008795595,6.164930991204403,21.38,9.431966921061587,9.668666241869001,33.091333758131,6.174000000000001,0.3679999999999999,5.717067648661016,6.630932351338987
12500,4,7651.058,540.8337587244345,6979.524192778647,8322.591807221352,0.5,0.020000000000000018,0.47516672003592464,0.5248332799640754,0.526,0.04223742416388575,0.4735553110388413,0.5784446889611587,7.856,1.4344281090385813,6.0749222589952865,9.637077741004713,0.548,0.06615134163416492,0.46586226065997954,0.6301377393400205
25000,4,2968.838,210.24007861490156,2707.7904634043475,3229.885536595653,1.3160000000000003,0.07199999999999998,1.226600192129329,1.4053998078706715,1.3539999999999999,0.10800000000000001,1.219900288193993,1.4880997118060066,10.658000000000001,0.3182074794846907,10.262893228764698,11.053106771235305,1.3900000000000001,0.13999999999999996,1.2161670402514728,1.5638329597485274
37500,4,1698.7100000000003,122.80464486329493,1546.2278936610478,1851.1921063389527,2.2860000000000005,0.09199999999999997,2.171766912165254,2.400233087834747,2.3679999999999994,0.1910392629801529,2.1307934249141622,2.6052065750858366,12.288,0.6762662197685169,11.448304581712076,13.127695418287924,2.444,0.2880000000000001,2.086400768517315,2.801599231482685
50000,4,1144.5639999999999,84.42984557607576,1039.730500374283,1249.3974996257166,3.3899999999999997,0.14,3.2161670402514724,3.563832959748527,3.5160000000000005,0.2919999999999998,3.1534341125245007,3.8785658874755002,14.65,1.7468371418080164,12.481015210291819,16.818984789708182,3.658,0.45600000000000007,3.0918012168190825,4.224198783180918
62500,4,842.582,58.7541012696135,769.6291477067027,915.5348522932973,4.6240000000000006,0.18799999999999992,4.390567168337693,4.857432831662308,4.774,0.3730201066966765,4.310834362908609,5.237165637091391,16.592000000000002,1.5322976212211517,14.689401209196426,18.49459879080358,4.974000000000001,0.5594497296451217,4.279351411894823,5.668648588105179
75000,4,655.0200000000001,46.68715583541154,597.0502394206407,712.9897605793595,5.9,0.1599999999999998,5.701333760287398,6.098666239712602,6.139999999999999,0.49002040773829003,5.531559301326234,6.748440698673764,18.847999999999995,3.6270064791781107,14.344476633552738,23.351523366447253,6.4,0.7213875518748571,5.504279048084638,7.295720951915363
12500,6,10476.072,960.3837218403905,9283.598108129847,11668.545891870153,0.518,0.05600000000000001,0.4484668161005891,0.5875331838994109,0.5740000000000001,0.06311893535223796,0.4956274903681752,0.6523725096318249,8.030000000000001,2.0717625346549733,5.457567047891537,10.602432952108465,0.692,0.044,0.6373667840790342,0.7466332159209657
25000,6,4085.9900000000002,361.98689677942747,3636.523902447482,4535.456097552518,1.352,0.14399999999999993,1.1732003842586578,1.5307996157413424,1.482,0.1490503270710937,1.2969295749553267,1.6670704250446733,10.445999999999998,1.01777404172046,9.182266614089365,11.709733385910631,1.734,0.11359577456930343,1.592952216369225,1.875047783630775
37500,6,2337.184,231.84587722019126,2049.309321123718,2625.0586788762826,2.3440000000000003,0.20799999999999982,2.085733888373617,2.6022661116263834,2.596,0.3020331107676773,2.220976360094285,2.9710236399057153,13.882,2.7874748429358065,10.42089284162791,17.34310715837209,3.064,0.308,2.68156748855324,3.44643251144676
50000,6,1575.206,154.15005139149318,1383.8034308659223,1766.6085691340775,3.474,0.30800000000000005,3.09156748855324,3.8564325114467604,3.849999999999999,0.44000000000000017,3.3036678407903417,4.396332159209656,14.272,1.5945457033274395,12.292110006687814,16.251889993312187,4.558,0.4559999999999999,3.9918012168190824,5.124198783180917
62500,6,1159.486,105.83994115644624,1028.0683554940356,1290.9036445059646,4.698,0.3359999999999999,4.280800896603535,5.115199103396466,5.223999999999999,0.548875213504855,4.542481407884615,5.905518592115383,16.676,2.266570978372396,13.861680416781507,19.49031958321849,6.138,0.516,5.497301376926856,6.778698623073144
75000,6,902.8340000000001,76.18159110966376,808.2420609932504,997.4259390067497,6.038,0.436,5.496634496783158,6.5793655032168425,6.7,0.6458173116292254,5.8981118947332485,7.501888105266752,18.162,2.0545208687185434,15.610975403753857,20.713024596246143,7.828,0.5360000000000003,7.162468096962781,8.49353190303722
12500,9,14219.192,1525.0976303489558,12325.533178649825,16112.850821350174,0.518,0.05600000000000001,0.4484668161005891,0.5875331838994109,0.638,0.08133879763065105,0.5370045433248388,0.7389954566751612,11.315999999999999,3.3243802429926697,7.188236735936112,15.443763264063886,0.7220000000000001,0.09907572861200668,0.5989812346866645,0.8450187653133356
25000,9,5480.719999999999,657.0368674587447,4664.900976183896,6296.539023816103,1.3820000000000001,0.20400000000000001,1.1287005443664317,1.6352994556335685,1.666,0.24286621831782199,1.3644417603348642,1.9675582396651357,10.331999999999999,0.8570274207981913,9.267859906121455,11.396140093878543,1.8579999999999999,0.28694250295137536,1.501713824530799,2.2142861754692005
37500,9,3153.422,355.23805496596236,2712.335696356834,3594.508303643166,2.3920000000000003,0.3039999999999999,2.0145341445460554,2.7694658554539453,2.896,0.39250987248730457,2.4086346223929627,3.383365377607037,19.474,5.927024886062147,12.114626582518852,26.83337341748115,3.16,0.47057411743528754,2.5757050598940925,3.744294940105908
50000,9,2118.282,230.35537574799505,1832.2580231410136,2404.3059768589865,3.592,0.5239999999999998,2.941368064941227,4.242631935058774,4.308,0.556754883229595,3.61669750566967,4.99930249433033,19.077999999999996,4.791414822367188,13.128672714606763,25.027327285393227,4.728,0.7959999999999999,3.739635457429802,5.716364542570198
62500,9,1534.872,165.91626832833487,1328.8597429003908,1740.8842570996094,4.790000000000001,0.5199999999999999,4.144334720934043,5.435665279065959,5.941999999999999,0.7382248979816384,5.025372721598551,6.858627278401448,20.992,4.6398465491867285,15.230869582684859,26.75313041731514,6.614,0.9406295764008272,5.446054119337433,7.781945880662566
75000,9,1200.23,129.60600341033592,1039.3028916143114,1361.1571083856886,6.236,0.7823451923543724,5.264590140485775,7.207409859514224,7.601999999999999,0.9746466026206624,6.39181640255431,8.812183597445689,24.253999999999998,2.617010508194417,21.00455226905405,27.503447730945947,8.459999999999999,1.3491330549652987,6.7848300568629245,10.135169943137074
12500,12,15878.36,1911.653657909821,13504.728475938837,18251.991524061166,0.5279999999999999,0.07600000000000003,0.4336335361365136,0.6223664638634862,0.764,0.1101998185116473,0.6271688527454986,0.9008311472545014,26.954,12.045833470540757,11.997122251271612,41.91087774872839,1.1280000000000001,0.24741867350707383,0.8207891406229345,1.4352108593770656
25000,12,6370.662,804.6400134320936,5371.5694638071745,7369.754536192826,1.3960000000000001,0.232,1.1079339524167262,1.684066047583274,1.92,0.29590539028547613,1.5525849300080896,2.2874150699919102,14.512,2.18267175727364,11.801855059097171,17.22214494090283,2.914,0.677365484801226,2.072939663896477,3.755060336103523
37500,12,3677.9479999999994,445.2329131769123,3125.118320892844,4230.777679107155,2.446,0.4119999999999999,1.9344344327400484,2.9575655672599517,3.316,0.48590534057571344,2.712668832072197,3.919331167927803,17.716,2.750662465661681,14.300601445177488,21.131398554822514,5.11,1.1778454907159939,3.647511658731302,6.5724883412686985
50000,12,2488.178,308.1225571359553,2105.593313769801,2870.7626862301986,3.682,0.704,2.807868545264548,4.556131454735452,4.912,0.7427624115422105,3.9897386543690274,5.834261345630972,29.362000000000002,8.093035030197262,19.31316976680213,39.41083023319787,7.206,1.9018685548691319,4.844518286103175,9.567481713896825
62500,12,1816.1239999999998,215.71617960644488,1548.2769859526197,2083.97101404738,4.946000000000001,0.8320000000000001,3.9129355534944668,5.979064446505534,6.718000000000001,0.9610702367673242,5.524673687260845,7.911326312739157,42.424,21.171813904339892,16.135720898311234,68.71227910168876,9.908000000000001,2.2988988668490835,7.05354004152206,12.762459958477942
75000,12,1390.484,152.15692249779505,1201.556227257007,1579.4117727429928,6.442,1.0400269227284455,5.150636012885439,7.733363987114561,8.756,1.14115029684963,7.339074759862274,10.172925240137728,41.33,10.857515369549334,27.848614055686525,54.81138594431347,12.09,2.9073768245619624,8.480014867729423,15.699985132270577
