ID,Timestamp,%CPU (global),%CPU (user),%CPU(system)
102,2025-03-09 17:52:53,31.8,23.9,6.8
103,2025-03-09 17:52:58,26.7,22.1,3.5
104,2025-03-09 17:53:03,6.0,4.8,1.2
105,2025-03-09 17:53:09,14.1,11.8,2.4
106,2025-03-09 17:53:14,13.1,10.7,2.4
107,2025-03-09 17:53:19,22.8,15.8,5.9
108,2025-03-09 17:53:24,7.5,5.0,2.5
109,2025-03-09 17:53:30,14.0,10.5,2.3
110,2025-03-09 17:53:35,23.0,18.4,3.4
111,2025-03-09 17:53:40,25.3,19.5,4.6
112,2025-03-09 17:53:45,19.5,16.1,3.4
113,2025-03-09 17:53:51,11.9,9.5,2.4
114,2025-03-09 17:53:56,21.8,18.4,2.3
115,2025-03-09 17:54:01,31.0,26.4,3.4
116,2025-03-09 17:54:06,15.1,10.5,4.7
117,2025-03-09 17:54:11,6.8,4.5,2.3
118,2025-03-09 17:54:17,4.8,2.4,2.4
119,2025-03-09 17:54:22,9.2,5.7,2.3
120,2025-03-09 17:54:27,8.2,4.7,2.4
121,2025-03-09 17:54:32,14.1,11.8,1.2
122,2025-03-09 17:54:38,27.1,22.4,4.7
123,2025-03-09 17:54:43,14.9,10.3,2.3
124,2025-03-09 17:54:48,7.1,6.0,1.2
125,2025-03-09 17:54:53,18.0,15.0,3.0
126,2025-03-09 17:54:58,7.1,5.9,1.2
127,2025-03-09 17:55:04,32.1,27.4,4.8
128,2025-03-09 17:55:09,19.3,15.9,3.4
129,2025-03-09 17:55:14,14.9,9.2,3.4
130,2025-03-09 17:55:19,18.6,15.1,2.3
131,2025-03-09 17:55:25,19.5,13.8,4.6
132,2025-03-09 17:55:30,9.4,7.1,2.4
133,2025-03-09 17:55:35,27.1,17.6,9.4
134,2025-03-09 17:55:40,9.3,5.8,3.5
135,2025-03-09 17:55:46,8.2,5.9,2.4
136,2025-03-09 17:55:51,18.4,13.8,4.6
137,2025-03-09 17:55:56,10.5,9.3,1.2
138,2025-03-09 17:56:01,7.3,6.1,1.2
139,2025-03-09 17:56:07,20.7,14.9,4.6
140,2025-03-09 17:56:12,8.5,6.1,2.4
141,2025-03-09 17:56:17,10.6,8.2,2.4
142,2025-03-09 17:56:22,12.9,9.4,2.4
143,2025-03-09 17:56:27,14.6,12.2,2.4
144,2025-03-09 17:56:33,4.8,3.6,1.2
145,2025-03-09 17:56:38,28.2,21.2,5.9
146,2025-03-09 17:56:43,8.3,7.1,1.2
147,2025-03-09 17:56:48,21.4,17.9,3.6
148,2025-03-09 17:56:54,14.0,9.0,5.0
149,2025-03-09 17:56:59,28.6,23.8,3.6
150,2025-03-09 17:57:04,10.6,8.2,2.4
151,2025-03-09 17:57:09,5.9,3.5,2.4
152,2025-03-09 17:57:15,7.1,4.8,2.4
153,2025-03-09 17:57:20,4.8,3.6,1.2
154,2025-03-09 17:57:25,15.1,12.8,2.3
155,2025-03-09 17:57:30,10.5,8.1,2.3
156,2025-03-09 17:57:35,28.6,20.2,7.1
157,2025-03-09 17:57:41,9.1,6.1,3.0
158,2025-03-09 17:57:46,4.8,3.6,1.2
159,2025-03-09 17:57:51,28.4,22.7,3.4
160,2025-03-09 17:57:56,9.3,5.8,2.3
161,2025-03-09 17:58:02,8.0,5.7,2.3
162,2025-03-09 17:58:07,21.8,14.9,6.9
163,2025-03-09 17:58:12,26.4,23.0,3.4
164,2025-03-09 17:58:17,17.0,10.0,6.0
165,2025-03-09 17:58:23,10.3,8.0,2.3
166,2025-03-09 17:58:28,31.9,26.4,4.4
167,2025-03-09 17:58:33,7.1,6.0,1.2
168,2025-03-09 17:58:38,22.4,16.5,4.7
169,2025-03-09 17:58:43,12.5,6.8,3.4
170,2025-03-09 17:58:49,22.4,13.3,7.1
171,2025-03-09 17:58:54,7.1,6.0,1.2
172,2025-03-09 17:58:59,14.3,13.1,1.2
173,2025-03-09 17:59:04,20.9,17.4,2.3
174,2025-03-09 17:59:10,17.6,15.3,2.4
175,2025-03-09 17:59:15,20.0,12.2,7.8
176,2025-03-09 17:59:20,7.1,5.9,1.2
177,2025-03-09 17:59:25,19.8,15.1,3.5
178,2025-03-09 17:59:31,9.5,7.1,2.4
179,2025-03-09 17:59:36,10.0,6.2,2.5
180,2025-03-09 17:59:41,48.9,43.3,4.4
181,2025-03-09 17:59:46,23.9,19.3,3.4
182,2025-03-09 17:59:52,14.0,11.6,2.3
183,2025-03-09 17:59:57,6.0,4.8,1.2
184,2025-03-09 18:00:02,14.5,10.8,2.4
185,2025-03-09 18:00:07,17.9,13.1,4.8
186,2025-03-09 18:00:12,40.5,34.5,4.8
187,2025-03-09 18:00:18,27.9,24.4,2.3
188,2025-03-09 18:00:23,25.9,21.2,3.5
189,2025-03-09 18:00:28,50.0,45.3,4.7
190,2025-03-09 18:00:33,35.2,28.6,5.5
191,2025-03-09 18:00:39,34.5,28.7,4.6
192,2025-03-09 18:00:44,68.6,65.1,2.3
193,2025-03-09 18:00:49,19.8,17.4,2.3
194,2025-03-09 18:00:54,10.5,7.0,2.3
195,2025-03-09 18:01:00,27.6,20.7,4.6
196,2025-03-09 18:01:05,32.1,28.6,3.6
197,2025-03-09 18:01:10,9.4,7.1,2.4
198,2025-03-09 18:01:15,12.8,10.5,2.3
199,2025-03-09 18:01:21,9.4,8.2,1.2
200,2025-03-09 18:01:26,28.4,21.6,5.7
201,2025-03-09 18:01:31,29.2,24.7,3.4
202,2025-03-09 18:01:36,30.6,27.1,3.5
203,2025-03-09 18:01:41,9.4,7.1,2.4
204,2025-03-09 18:01:47,43.7,37.9,4.6
205,2025-03-09 18:01:52,26.1,22.7,2.3
206,2025-03-09 18:01:57,38.6,29.5,8.0
207,2025-03-09 18:02:02,30.7,25.0,3.4
208,2025-03-09 18:02:08,30.0,24.4,5.6
209,2025-03-09 18:02:13,26.7,20.9,3.5
210,2025-03-09 18:02:18,25.9,21.2,3.5
211,2025-03-09 18:02:23,18.8,15.3,2.4
212,2025-03-09 18:02:29,21.4,19.0,2.4
213,2025-03-09 18:02:34,33.3,28.7,3.4
214,2025-03-09 18:02:39,24.1,19.5,3.4
215,2025-03-09 18:02:44,13.1,9.5,3.6
216,2025-03-09 18:02:49,25.9,22.2,3.7
217,2025-03-09 18:02:55,19.8,15.1,3.5
218,2025-03-09 18:03:00,24.4,20.9,3.5
219,2025-03-09 18:03:05,32.1,27.4,3.6
220,2025-03-09 18:03:10,22.4,17.6,3.5
221,2025-03-09 18:03:16,21.2,18.8,2.4
222,2025-03-09 18:03:21,30.7,25.0,4.5
223,2025-03-09 18:03:26,60.2,55.1,5.1
224,2025-03-09 18:03:31,22.2,16.2,6.1
225,2025-03-09 18:03:37,30.2,24.4,4.7
226,2025-03-09 18:03:42,31.0,26.4,3.4
227,2025-03-09 18:03:47,8.1,5.8,2.3
228,2025-03-09 18:03:52,6.0,3.6,2.4
229,2025-03-09 18:03:58,9.4,7.1,2.4
230,2025-03-09 18:04:03,9.5,6.0,2.4
231,2025-03-09 18:04:08,21.8,17.2,3.4
232,2025-03-09 18:04:13,25.0,19.3,4.5
233,2025-03-09 18:04:18,5.9,4.7,1.2
234,2025-03-09 18:04:24,9.4,7.1,2.4
235,2025-03-09 18:04:29,14.1,11.8,1.2
236,2025-03-09 18:04:34,85.2,83.0,2.3
237,2025-03-09 18:04:39,17.7,12.5,5.2
238,2025-03-09 18:04:45,21.8,17.2,3.4
239,2025-03-09 18:04:50,10.6,7.1,3.5
240,2025-03-09 18:04:55,18.8,15.3,3.5
241,2025-03-09 18:05:00,6.0,4.8,1.2
242,2025-03-09 18:05:06,7.1,4.7,2.4
243,2025-03-09 18:05:11,9.3,5.8,2.3
244,2025-03-09 18:05:16,16.3,11.6,3.5
245,2025-03-09 18:05:21,9.2,5.7,2.3
246,2025-03-09 18:05:27,8.2,5.9,1.2
247,2025-03-09 18:05:32,7.0,5.8,1.2
248,2025-03-09 18:05:37,17.4,12.8,3.5
249,2025-03-09 18:05:42,67.8,64.4,3.3
250,2025-03-09 18:05:47,18.4,12.6,3.4
251,2025-03-09 18:05:53,34.9,30.2,4.7
252,2025-03-09 18:05:58,4.8,3.6,1.2
253,2025-03-09 18:06:03,17.6,14.1,3.5
254,2025-03-09 18:06:08,8.2,5.9,2.4
255,2025-03-09 18:06:14,5.8,4.7,1.2
256,2025-03-09 18:06:19,7.1,4.7,2.4
257,2025-03-09 18:06:24,21.2,17.6,2.4
258,2025-03-09 18:06:29,7.0,4.7,2.3
259,2025-03-09 18:06:35,8.1,5.8,2.3
260,2025-03-09 18:06:40,8.2,5.9,2.4
261,2025-03-09 18:06:45,19.3,16.9,2.4
262,2025-03-09 18:06:50,31.8,27.3,4.5
263,2025-03-09 18:06:55,23.3,18.6,3.5
264,2025-03-09 18:07:01,39.5,31.4,8.1
265,2025-03-09 18:07:06,28.7,23.0,4.6
266,2025-03-09 18:07:11,11.6,9.3,2.3
267,2025-03-09 18:07:16,28.6,25.0,3.6
268,2025-03-09 18:07:22,3.6,2.4,1.2
269,2025-03-09 18:07:27,12.5,8.0,3.4
270,2025-03-09 18:07:32,19.3,14.8,4.5
271,2025-03-09 18:07:37,13.1,9.5,3.6
272,2025-03-09 18:07:43,17.2,13.1,4.0
273,2025-03-09 18:07:48,11.9,9.5,1.2
274,2025-03-09 18:07:53,23.5,17.3,6.1
275,2025-03-09 18:07:58,14.1,11.8,2.4
276,2025-03-09 18:08:04,17.4,12.8,3.5
277,2025-03-09 18:08:09,7.1,4.7,2.4
278,2025-03-09 18:08:14,7.1,6.0,1.2
279,2025-03-09 18:08:19,10.7,8.3,2.4
280,2025-03-09 18:08:25,6.0,4.8,1.2
281,2025-03-09 18:08:30,12.6,9.2,2.3
