,Unnamed: 0,Mean %CPU,Mean % Memoria utilizada,Mean Capacidad de memoria utilizada,load,threads
0,0,14.28,12.83252,2053268.8,12500,1
0,0,13.068,12.919007999999998,2067107.76,25000,1
0,0,13.233082706766917,12.87897067669173,2060701.3533834587,37500,1
0,0,13.236363636363636,12.643616666666665,2023041.1666666667,50000,1
0,0,13.114988814317671,12.31544004474273,1970532.4653243849,62500,1
0,0,13.113603473227206,12.35625499276411,1977062.96382055,75000,1
0,0,25.66,12.34416,1975130.4,12500,2
0,0,25.589285714285715,12.338342857142855,1974197.2857142857,25000,2
0,0,25.635135135135137,12.364472972972973,1978378.0,37500,2
0,0,25.64689655172414,12.374202068965516,1979933.765517241,50000,2
0,0,25.623886639676115,12.396924291497978,1983570.2672064777,62500,2
0,0,25.6335092348285,12.408306068601584,1985390.691292876,75000,2
0,0,51.45,12.36795,1978935.0,12500,4
0,0,51.13333333333334,12.39265,1982888.4444444445,25000,4
0,0,51.01999999999998,12.411455555555555,1985894.4888888889,37500,4
0,0,51.02022471910112,12.425755056179776,1988182.4719101123,50000,4
0,0,51.041059602649,12.409213245033111,1985536.370860927,62500,4
0,0,51.13418803418804,12.450213675213677,1992095.982905983,75000,4
0,0,75.86666666666666,12.443599999999998,1991040.0,12500,6
0,0,75.98571428571428,12.47174285714286,1995540.857142857,25000,6
0,0,75.9972972972973,12.460210810810812,1993695.567567568,37500,6
0,0,76.09041095890412,12.448334246575342,1991795.7808219176,50000,6
0,0,76.07317073170732,12.452478861788617,1992458.37398374,62500,6
0,0,76.13368421052633,12.440017894736842,1990464.7789473685,75000,6
0,0,100.0,12.397233333333332,1983621.3333333333,12500,8
0,0,100.0,12.418783333333332,1987066.3333333333,25000,8
0,0,100.0,12.442833333333333,1990914.0,37500,8
0,0,100.0,12.458616949152542,1993440.2033898304,50000,8
0,0,100.0,12.447053,1991590.56,62500,8
0,0,99.99290322580644,12.469009677419354,1995103.4322580649,75000,8
